"group","value"
"New York",4.7
"New York",4.6
"New York",5.2
"New York",4.5
"New York",3.3
"New York",2.1
"New York",1.5
"New York",1.2
"New York",1.2
"New York",0.8
"New York",0.2
"New York",0.4
"New York",0.2
"New York",-0.3
"New York",0.3
"New York",-0.4
"New York",0.2
"New York",-0.1
"New York",-0.1
"New York",0.6
"New York",2.6
"New York",4.1
"New York",7.3
"New York",8.8
"New York",10.3
"New York",10.8
"New York",11.6
"New York",11.2
"New York",8.9
"New York",7.3
"London",12.4
"London",11.9
"London",11.4
"London",11.3
"London",11
"London",10.7
"London",10.5
"London",10.3
"London",9.8
"London",9.5
"London",9.3
"London",9.2
"London",8.9
"London",7.5
"London",6.9
"London",7.1
"London",7.6
"London",8.3
"London",9.6
"London",9.9
"London",10.5
"London",10.7
"London",10.6
"London",10.4
"London",9.8
"London",9
"London",8.2
"London",7.7
"London",7.6
"London",7.7
"Tokyo",8.3
"Tokyo",7.9
"Tokyo",7.8
"Tokyo",7.8
"Tokyo",7.7
"Tokyo",8.5
"Tokyo",10.6
"Tokyo",13.9
"Tokyo",15.9
"Tokyo",17.9
"Tokyo",18.5
"Tokyo",17.8
"Tokyo",17.3
"Tokyo",15.4
"Tokyo",13.6
"Tokyo",12.4
"Tokyo",11.2
"Tokyo",10.3
"Tokyo",9.9
"Tokyo",9.4
"Tokyo",8.8
"Tokyo",8.3
"Tokyo",8
"Tokyo",7.7
"Tokyo",6.9
"Tokyo",6.8
"Tokyo",7
"Tokyo",7
"Tokyo",7
"Tokyo",8.1
